[build] clang++ + libomp
Mode: estimate
Days kept: 965, total returns: 4515235
Jump truncation: c=3.000000
rep 149: H_hat=0.4900
rep 89: H_hat=0.4900
rep 168: H_hat=0.4900
rep 190: H_hat=0.4900
rep 31: H_hat=0.4900
rep 49: H_hat=0.4900
rep 109: H_hat=0.4900
rep 150: H_hat=0.4900
rep 128: H_hat=0.4900
rep 169: H_hat=0.4900
rep 70: H_hat=0.4900
rep 8: H_hat=0.4900
rep 90: H_hat=0.4900
rep 50: H_hat=0.4900
rep 191: H_hat=0.4900
rep 151: H_hat=0.4900
rep 170: H_hat=0.4900
rep 32: H_hat=0.4900
rep 110: H_hat=0.4900
rep 71: H_hat=0.4900
rep 129: H_hat=0.4900
rep 9: H_hat=0.4900
rep 51: H_hat=0.4900
rep 171: H_hat=0.4900
rep 91: H_hat=0.4900
rep 192: H_hat=0.4900
rep 111: H_hat=0.4900
rep 130: H_hat=0.4900
rep 52: H_hat=0.4900
rep 152: H_hat=0.4900
rep 33: H_hat=0.4900
rep 172: H_hat=0.4900
rep 10: H_hat=0.4900
rep 72: H_hat=0.4900
rep 131: H_hat=0.4900
rep 53: H_hat=0.4900
rep 92: H_hat=0.4900
rep 193: H_hat=0.4900
rep 34: H_hat=0.4900
rep 112: H_hat=0.4900
rep 73: H_hat=0.4900
rep 173: H_hat=0.4900
rep 132: H_hat=0.4900
rep 54: H_hat=0.4900
rep 153: H_hat=0.4900
rep 74: H_hat=0.4900
rep 194: H_hat=0.4900
rep 11: H_hat=0.4900
rep 133: H_hat=0.4900
rep 174: H_hat=0.4900
rep 113: H_hat=0.4900
rep 55: H_hat=0.4900
rep 35: H_hat=0.4900
rep 93: H_hat=0.4900
rep 154: H_hat=0.4900
rep 75: H_hat=0.4900
rep 134: H_hat=0.4900
rep 12: H_hat=0.4900
rep 175: H_hat=0.4900
rep 195: H_hat=0.4900
rep 155: H_hat=0.4900
rep 56: H_hat=0.4900
rep 76: H_hat=0.4900
rep 36: H_hat=0.4900
rep 114: H_hat=0.4900
rep 135: H_hat=0.4900
rep 94: H_hat=0.4900
rep 156: H_hat=0.4900
rep 77: H_hat=0.4900
rep 176: H_hat=0.4900
rep 136: H_hat=0.4900
rep 196: H_hat=0.4900
rep 13: H_hat=0.4900
rep 37: H_hat=0.4900
rep 115: H_hat=0.4900
rep 57: H_hat=0.4900
rep 157: H_hat=0.4900
rep 95: H_hat=0.4900
rep 197: H_hat=0.4900
rep 78: H_hat=0.4900
rep 137: H_hat=0.4900
rep 38: H_hat=0.4900
rep 177: H_hat=0.4900
rep 116: H_hat=0.4900
rep 58: H_hat=0.4900
rep 14: H_hat=0.4900
rep 198: H_hat=0.4900
rep 39: H_hat=0.4900
rep 117: H_hat=0.4900
rep 158: H_hat=0.4900
rep 79: H_hat=0.4900
rep 178: H_hat=0.4900
rep 15: H_hat=0.4900
rep 138: H_hat=0.4900
rep 59: H_hat=0.4900
rep 96: H_hat=0.4900
rep 40: H_hat=0.4900
rep 199: H_hat=0.4900
rep 118: H_hat=0.4900
rep 80: H_hat=0.4900
rep 179: H_hat=0.4900
rep 159: H_hat=0.4900
rep 139: H_hat=0.4900
rep 97: H_hat=0.4900
rep 16: H_hat=0.4900
rep 60: H_hat=0.4900
rep 200: H_hat=0.4900
rep 119: H_hat=0.4900
rep 160: H_hat=0.4900
rep 180: H_hat=0.4900
rep 98: H_hat=0.4900
rep 140: H_hat=0.4900
rep 17: H_hat=0.4900
rep 99: H_hat=0.4900
rep 120: H_hat=0.4900
rep 18: H_hat=0.4900
rep 100: H_hat=0.4900
rep 19: H_hat=0.4900
rep 20: H_hat=0.4900
MC summary: mean(H_hat)=0.4900, sd=0.0000, n=200
